DonorID,DonorName,DonorAge,DonorGender,DonorLocation,DonationAmount,DonationDate,DonorEmail,ProjectID,ProjectName,ProjectStartDate,ProjectEndDate,ProjectLocation,ProjectBudget,ProjectManager,BeneficiaryID,BeneficiaryName,BeneficiaryAge,BeneficiaryGender,BeneficiaryLocation,ExpenseID,ExpenseDate,ExpenseCategory,ExpenseAmount,ExpenseDescription,VolunteerID,VolunteerName,VolunteerAge,VolunteerGender,VolunteerLocation,VolunteerHours,EventID,EventName,EventDate,EventLocation,EventParticipants,EventCost,PartnershipID,PartnerName,PartnershipStartDate,PartnershipEndDate,PartnershipType,PartnershipValue,Country,Region
433,Steve Williams,50,Female,Sullivanport,213.67,2024-07-04,williamcampbell@gmail.com,80,Would mouth.,2024-09-30,2024-11-10,West Corey,407353.31,Samuel Rivera,287,Jeffrey Carr,7,Female,Ramoshaven,267,2024-01-25,Supplies,12564.86,Trouble behavior style report size personal.,157,Sean Sanchez MD,22,Male,New Jeffrey,16.99,10,Language ball floor.,2024-07-16,Rodriguezside,159,39322.32,46,Kelley PLC,2024-03-19,2024-11-06,Sponsorship,64824.05,Netherlands Antilles,Oklahoma
301,Brandon Yates,38,Male,West Ivan,7046.01,2024-11-15,salazardiane@jones-shelton.com,20,Thousand.,2024-02-01,2024-12-14,Masseyhaven,336472.0,Robert Atkinson,459,Samantha Barnes,9,Male,Vasquezstad,85,2024-05-05,Equipment,11340.62,Break onto friend couple administration even.,181,Robert Cook,21,Female,Port Dustinbury,76.39,3,Plant view own.,2024-01-29,North Cynthiashire,71,9527.88,26,Wood Inc,2024-01-15,2024-08-23,Collaboration,8460.76,Angola,Illinois
493,Michelle Mendoza,64,Female,Lake Andrewchester,5994.93,2024-08-29,chad14@graham-brown.info,6,Beyond write current grow.,2024-10-11,2024-07-01,Lake Emily,447878.32,Amy Lowe,433,Joseph Wilson,15,Male,North Thomas,420,2024-12-15,Medical,20680.63,Themselves true power home price check.,177,Patrick Rogers,20,Female,Dennisfort,21.93,23,Explain grow water plant.,2024-08-29,Lake Kyle,393,16145.34,27,"Miller, Wheeler and Hale",2024-03-03,2024-04-02,Collaboration,83192.3,Czech Republic,South Dakota
230,Shawn Carroll,44,Male,South Monicashire,5368.15,2024-06-11,seangreen@griffin.net,78,Usually.,2024-01-16,2024-07-11,Larrymouth,473525.84,Rodney Mccann,213,Zachary Schultz,3,Female,North Richard,695,2024-06-11,Medical,9748.45,About add senior woman put.,157,Bryan Banks,37,Female,Haleyburgh,25.58,7,Take however ball.,2024-04-16,Marshville,451,35638.04,17,Valdez Ltd,2024-09-07,2024-05-14,Collaboration,54212.79,Brazil,Georgia
143,Amanda Harris,34,Female,Staceyshire,5846.52,2024-12-19,djoseph@graham.biz,76,Across character.,2024-05-09,2024-05-11,Jennifermouth,49092.04,Amanda Nelson,77,Mrs. Jennifer Kelley,10,Female,South Jessicaton,316,2024-03-10,Medical,40307.91,Rock few structure federal board night.,124,Ryan Cherry,39,Male,South Darrenfort,59.51,28,Five.,2024-05-10,East Courtney,202,26818.72,41,Jones Inc,2024-03-17,2024-10-18,Sponsorship,5594.1,Cyprus,Arkansas
198,James Stone,46,Female,Kramerborough,5140.45,2024-06-13,jeffrey49@reynolds.com,9,Weight.,2024-07-23,2024-06-24,North Tyler,465896.14,Martin Shea,409,Charles Gonzalez,13,Female,Amyberg,108,2024-08-19,Supplies,35376.21,Chance image quite there many true.,83,Yvette Reid,30,Male,North Matthew,43.54,48,Stand along chance.,2024-04-09,Port Nicholas,160,31954.78,46,"Roman, Jones and Miller",2024-12-03,2024-12-21,Donation,51276.73,Armenia,California
116,Eric Blake,46,Male,Michelleberg,8373.6,2024-12-03,william88@gmail.com,74,Question source.,2024-10-21,2024-08-21,Lake Ronaldborough,98950.01,Steven Butler,498,Dr. James Willis,1,Female,Lake Hunterhaven,584,2024-04-08,Medical,41412.14,Assume teacher wall field impact.,99,Martin Anderson,36,Male,Brianton,99.22,31,Cell three own.,2024-02-01,Port Valerie,220,2735.42,3,"Owens, Ellis and Garcia",2024-10-29,2024-02-28,Collaboration,62188.7,Angola,Arizona
307,Lorraine Garcia,53,Male,Jamesfort,4945.64,2024-02-13,vmendez@martinez.com,50,True their.,2024-09-21,2024-11-10,New Michelleborough,157584.61,James Watson,98,Richard Jones,2,Male,South Jonathantown,968,2024-07-20,Medical,49721.77,Occur democratic behavior standard thousand single.,179,Katie Dougherty,27,Male,Snowchester,55.49,6,Indeed between.,2024-10-27,Lake Stephanie,415,25013.96,29,Parks-Johnson,2024-12-23,2024-12-01,Collaboration,27290.77,Greece,Washington
130,Benjamin Howard,19,Male,Michaeltown,8524.61,2024-11-18,chad23@harris.com,96,Finally.,2024-05-23,2024-09-24,New Jesseberg,253718.36,Brian Cooper,492,Alexis Clark,11,Female,Woodwardport,960,2024-12-07,Supplies,12931.18,Player contain year bill ok choose.,38,Regina Stewart,33,Female,Port Ivan,11.85,24,Production technology over.,2024-06-01,Lake Charleschester,163,21802.54,36,Yang-Thomas,2024-06-12,2024-04-25,Collaboration,33116.53,Northern Mariana Islands,Minnesota
44,Mark Walsh,51,Male,South Rickychester,2267.54,2024-10-09,sharris@yahoo.com,12,Someone everybody.,2024-08-04,2024-08-23,Port Jacqueline,429026.56,Cathy Fisher,90,Jesse Giles,5,Female,Stevenland,495,2024-10-20,Equipment,28461.46,Far store last left.,56,Randy Fuller,52,Female,South Jasmine,51.59,31,Question set.,2024-03-31,Ramireztown,71,42672.29,18,"Williams, Scott and Fox",2024-08-13,2024-10-02,Collaboration,39531.64,Indonesia,New Hampshire
53,Heather Savage,61,Female,New Christopher,1828.14,2024-01-28,amanda18@gmail.com,98,Attention team.,2024-04-19,2024-07-20,New Alexandra,217956.1,Brian Sosa,279,Richard French,10,Female,Watsonberg,161,2024-02-17,Medical,41607.17,High opportunity cause.,172,Mark Newton,31,Female,Burnshaven,59.58,21,Present art feel.,2024-10-16,Williamsborough,23,30333.86,23,Myers-Haney,2024-11-24,2024-07-23,Collaboration,49753.37,Bangladesh,Utah
444,Travis Middleton,43,Male,West Blaketown,861.87,2024-04-14,donaldberry@gmail.com,14,Leave form collection.,2024-06-12,2024-09-08,Hernandezberg,354086.11,Beverly Lozano,228,William Simmons,16,Female,Blairborough,450,2024-03-20,Training,30787.32,Report town almost plan that hair.,191,Carrie Bishop,57,Female,Lake Mistyport,58.63,50,In approach recent.,2024-09-15,Carpenterfort,140,40239.76,46,Lewis-Adams,2024-01-18,2024-01-21,Collaboration,47163.08,Central African Republic,Minnesota
2,Adam Brown,45,Female,New Randy,9452.94,2024-12-23,mlee@obrien.com,42,Lay foot agreement.,2024-01-18,2024-03-14,Christopherhaven,120654.06,Ryan King,374,Emily Heath,9,Female,Cooperbury,46,2024-04-28,Training,27307.17,Authority leave right answer speak without.,118,Bradley Allen,27,Female,Hensonborough,22.03,29,Baby interview senior stop.,2024-01-16,East Tracy,75,49247.31,18,Flores-Graham,2024-08-04,2024-12-15,Sponsorship,46553.14,France,South Carolina
278,Michelle Waters,50,Female,Herreraview,1835.31,2024-04-15,wilsonkristen@thompson.com,28,They young.,2024-01-03,2024-10-15,Trevinoville,381040.23,Dominic Maddox,290,Michael Warner,10,Female,Lake Marie,246,2024-01-26,Medical,45043.73,Film force health lose old case.,4,Erin Richards,19,Male,South Eric,34.25,12,Yard career deal.,2024-12-21,Hudsonborough,130,3306.08,47,Cabrera Group,2024-05-17,2024-08-24,Donation,60473.15,Namibia,Florida
323,Dr. Luis Johnson MD,49,Male,Parkerbury,4371.99,2024-08-03,vlamb@payne-padilla.com,34,Page region.,2024-11-15,2024-05-02,Patrickton,492928.1,Ethan Burgess,128,Jeremy Swanson,8,Male,Maxburgh,313,2024-01-07,Training,16509.66,Of around piece government make.,16,Andrew Perez,59,Male,Carlton,73.15,23,Career two large.,2024-02-25,Larrymouth,382,45946.74,48,Reyes-Ortiz,2024-04-12,2024-07-26,Sponsorship,7009.32,Marshall Islands,West Virginia
352,Olivia Cunningham,25,Male,Finleyburgh,3184.75,2024-01-02,christopheryoung@wright.com,96,Collection bad until.,2024-08-20,2024-02-10,Mckinneyton,15558.79,Robert Oconnor,14,Stacy Crawford,12,Female,Emilymouth,242,2024-07-16,Medical,6699.85,Class send front sound war.,4,Steven Pierce,20,Female,Sarahton,80.69,30,Return identify many.,2024-01-09,Jodyton,140,6801.31,44,"Perkins, Parsons and Roberts",2024-09-23,2024-10-22,Collaboration,8470.13,Cote d'Ivoire,Wisconsin
271,Jasmin Flowers,34,Female,North Ashlee,2410.08,2024-05-07,francisco25@wilkins.com,45,Fact fall manager.,2024-06-05,2024-08-21,Archertown,122238.8,Laura Ramos,175,Tiffany Castillo,9,Female,North Ana,435,2024-04-18,Equipment,26846.14,Morning as police often.,130,Kimberly Cruz,45,Female,Larrytown,86.55,28,Watch Mrs.,2024-08-03,Veronicaborough,371,42690.27,28,Kirk PLC,2024-03-01,2024-10-31,Donation,76330.6,Panama,Vermont
